request_idx,with_other_issue,primary_issue,request_id,therapist_id,variant,raw_match_score,apply_fit,apply_msg_len,rationale
1,1,depression,exp-req-001-c2fff3,30a94252-3cd0-42d1-a960-86def311f9e8,A_empty,91,0,0,No apply message provided.
1,1,depression,exp-req-001-c2fff3,54f8069d-9336-4d14-96b5-a692e3bf61f8,B_oneliner,89,0.5,27,"The message is extremely terse and fails to address depression, prior therapy experience, or demonstrate a direct therapeutic style—it reads more like a text message than a professional introduction."
1,1,depression,exp-req-001-c2fff3,b5ceb107-0e6b-4dcb-9072-95e571301937,C_generic_long,86,0.5,327,"Generic introduction that doesn't mention depression, direct style preference, or acknowledge the transition from couples to individual therapy."
1,1,depression,exp-req-001-c2fff3,d135e888-21b1-414b-90a5-2892b94c4ee8,D_issue_specific,86,3.5,206,"Addresses depression by name and mentions practice focus, but does not acknowledge the patient's preference for direct style or their experience with couples versus solo therapy."
1,1,depression,exp-req-001-c2fff3,3f84d00c-aea0-4051-9fce-41cc90be5972,E_full_engagement,86,5.0,445,"Directly names depression and their direct style preference, and explicitly acknowledges the couples-vs-solo therapy distinction from their history."
2,0,depression,exp-req-002-a4be66,b4733156-b012-4a9a-81a7-2203f06c6f16,A_empty,90,0,0,No apply message provided.
2,0,depression,exp-req-002-a4be66,30a94252-3cd0-42d1-a960-86def311f9e8,B_oneliner,89,0,27,"The message is entirely generic and does not mention depression, therapy style preferences, or the patient's prior therapy experience."
2,0,depression,exp-req-002-a4be66,915967e3-ac56-4a36-8f02-effab988618f,C_generic_long,88,1.0,327,"Generic introduction that doesn't mention depression, exploratory/structured preferences, or acknowledge the transition from couples to solo therapy."
2,0,depression,exp-req-002-a4be66,54f8069d-9336-4d14-96b5-a692e3bf61f8,D_issue_specific,88,3.5,206,"Directly addresses depression as the primary concern and mentions collaborative approach, but does not acknowledge their couples-only therapy history or their desire for both exploratory and structure"
2,0,depression,exp-req-002-a4be66,c5aa86f5-b6f4-4777-b3b9-f0b29baca9b6,E_full_engagement,88,4.5,445,"Addresses depression by name and directly acknowledges their couples-but-not-solo therapy history, though 'warm + direct rather than purely exploratory' slightly misaligns with their exploratory prefe"
6,0,depression,exp-req-006-149734,b5ceb107-0e6b-4dcb-9072-95e571301937,A_empty,77,0,0,No apply message provided.
6,0,depression,exp-req-006-149734,30a94252-3cd0-42d1-a960-86def311f9e8,B_oneliner,77,0,27,"The message is a generic two-word response that doesn't acknowledge any of the patient's concerns, preferences, or therapy history."
6,0,depression,exp-req-006-149734,c40400b2-cf6b-465c-8bde-52d6cc9a9ee7,C_generic_long,77,0.5,327,"Generic introduction that doesn't mention depression, stress, anger, exploratory preference, or prior therapy experience at all."
6,0,depression,exp-req-006-149734,bf0c89f2-32b2-4ae8-b06d-b18ace4051d5,D_issue_specific,75,3.5,206,"Addresses depression directly and mentions a collaborative approach, but doesn't acknowledge the exploratory preference or the prior therapy experience that didn't click."
6,0,depression,exp-req-006-149734,0390dbb1-87fb-4dcb-a529-53e47527063a,E_full_engagement,74,4.5,553,"Directly names depression and acknowledges the college therapy experience that didn't click, but explicitly states he leans away from the exploratory preference the patient requested."
10,0,anxiety,exp-req-010-49cb74,e70837da-8585-4619-9c8f-f478a93c6aa3,A_empty,89,0,0,No apply message provided.
10,0,anxiety,exp-req-010-49cb74,d135e888-21b1-414b-90a5-2892b94c4ee8,B_oneliner,88,0,27,"The message is completely generic and fails to address any of the patient's concerns, therapy history, or preference for directness."
10,0,anxiety,exp-req-010-49cb74,30a94252-3cd0-42d1-a960-86def311f9e8,C_generic_long,87,1.0,327,"Generic introduction that doesn't name any of the patient's specific concerns (anxiety, anger, relationship conflict), their preference for directness, or acknowledge their couples therapy background."
10,0,anxiety,exp-req-010-49cb74,cd573865-4d25-4db5-b732-bedd0bcf3cc5,D_issue_specific,87,3.5,203,"Addresses anxiety as a primary concern and mentions collaborative approach, but does not acknowledge their direct style preference, anger/relationship conflict issues, or their couples-only therapy hi"
10,0,anxiety,exp-req-010-49cb74,edcb82ab-1596-4040-80ec-6d80e2bd01b7,E_full_engagement,85,5.0,442,"Directly names anxiety, acknowledges the 'warm + direct' style preference, and explicitly speaks to the patient's transition from couples to solo therapy."
15,1,anxiety,exp-req-015-2e8ab1,774a11fb-6558-433b-8df2-6ebf0c120279,A_empty,76,0,0,No apply message provided.
15,1,anxiety,exp-req-015-2e8ab1,b5ceb107-0e6b-4dcb-9072-95e571301937,B_oneliner,75,0,27,"Message is a generic two-word response that does not engage with anxiety, structured/warm preference, or prior therapy experience at all."
15,1,anxiety,exp-req-015-2e8ab1,fdfb1214-b096-47e0-a9c7-161f6bc62966,C_generic_long,75,1.5,327,"Generic introduction that doesn't mention anxiety, structured/warm approach, or acknowledge the patient's prior couples therapy experience."
15,1,anxiety,exp-req-015-2e8ab1,b7414233-e247-45f8-8291-9814556a6c6e,D_issue_specific,75,3.5,203,"Addresses anxiety as primary concern and mentions collaborative approach, but does not acknowledge their prior couples therapy experience or specific desire for structured and warm style."
15,1,anxiety,exp-req-015-2e8ab1,edcb82ab-1596-4040-80ec-6d80e2bd01b7,E_full_engagement,75,5.0,552,"Directly names anxiety, acknowledges that prior therapy didn't click and asks what was missing, addresses the structured/warm style preference by describing her approach as 'warm + direct,' and specif"
18,0,depression,exp-req-018-8cc68b,b5ceb107-0e6b-4dcb-9072-95e571301937,A_empty,95,0,0,No apply message provided.
